id;selector;prefix;parent_id;shop_id
1;ul.navbar-usual-menu>li;;null;1
2;ul>li;;1;1
3;ul>li;;2;1
4;.navbar-cat-collapse .navbar-nav > li;;null;2
5;ul>li;;4;2
6;#catalogBlock .level1;;null;3
7;.menu-items>li;;null;4
8;ul>li;;7;4
9;.box-category>ul>li;;null;5
10;ul>li;;9;5
11;.menu_three>ul>li;;null;6
12;ul>li;;11;6
13;ul>li;;12;6
14;.item-111 .sub-menu > li;;null;7
15;.navbar-menu .navbar-collapse > ul;;null;8
16;ul>li;;15;8
17;.product-categories>li;;null;9
18;#leftcatalog>ul>li;;null;10
19;ul>li;;18;10
20;#sidebar-catalog>ul>li;;null;11
21;ul>li;;20;11
22;.catalog li.menu_item;;null;12
23;.product-nav__list>li>div;;null;13
24;ul>div;;23;13
25;ul>li;;24;13
26;ul.l_menu >li;;null;14
27;.win-menu>li;catalog;null;15
28;ul>li;;27;15

